year,month,day,title,links
1380,3,18,برگزاری هشتمین انتخابات ریاست‌جمهوری ایران,[]
1380,4,5,کاخ آپادانا در شوش از دورهٔ هخامنشی، قلعهٔ شوش از دورهٔ قاجار، آسیاب‌های شوشتر از دورهٔ ساسانیان و آسیاب‌های آبی گنو در بندرعباس از دورهٔ قاجار در فهرست آثار ملی ایران قرار گرفت.,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'بندرعباس', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D9%86%D8%AF%D8%B1%D8%B9%D8%A8%D8%A7%D8%B3'}, {'text': 'شوشتر', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B4%D8%AA%D8%B1'}, {'text': 'فهرست آثار ملی ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%AB%D8%A7%D8%B1_%D9%85%D9%84%DB%8C_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'قاجار', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%82%D8%A7%D8%AC%D8%A7%D8%B1%DB%8C'}, {'text': 'هخامنشی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%87%D9%86%D8%B4%D8%A7%D9%87%DB%8C_%D9%87%D8%AE%D8%A7%D9%85%D9%86%D8%B4%DB%8C'}, {'text': 'گنو', 'url': 'https://fa.wikipedia.org/wiki/%DA%AF%D9%86%D9%88'}]"
1380,5,20,سیل گلستان,[]
1380,6,8,اعتراضات به تقسیم استان خراسان,"[{'text': 'اعتراضات به تقسیم استان خراسان', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D9%82%D8%B3%DB%8C%D9%85_%D8%A7%D8%B3%D8%AA%D8%A7%D9%86_%D8%AE%D8%B1%D8%A7%D8%B3%D8%A7%D9%86'}]"
1380,7,26,گشایش موزه محمود فرشچیان، نگارگر معصر، در مجموعه فرهنگی تاریخی سعدآباد تهران,"[{'text': 'تهران', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}, {'text': 'مجموعه فرهنگی تاریخی سعدآباد', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%AE%E2%80%8C%D9%85%D9%88%D8%B2%D9%87_%D8%B3%D8%B9%D8%AF%D8%A2%D8%A8%D8%A7%D8%AF'}, {'text': 'محمود فرشچیان', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D9%81%D8%B1%D8%B4%DA%86%DB%8C%D8%A7%D9%86'}, {'text': 'نگارگر', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D9%82%D8%A7%D8%B4%DB%8C'}]"
1380,7,26,اعطای جایزه علمی یونسکو به «سیما رأفتی سیدی یزدی»، استاد ایمونولوژی مؤسسه پاسور ایران,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'ایمونولوژی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D9%85%D9%86%DB%8C%E2%80%8C%D8%B4%D9%86%D8%A7%D8%B3%DB%8C'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]"
1380,7,29,اعطای جایزه کتاب سال ۲۰۰۱ سوئیس به محمدرضا بایرامی، نویسنده,"[{'text': 'سال', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D9%84'}, {'text': 'محمدرضا بایرامی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B1%D8%B6%D8%A7_%D8%A8%D8%A7%DB%8C%D8%B1%D8%A7%D9%85%DB%8C'}, {'text': 'نویسنده', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D9%88%DB%8C%D8%B3%D9%86%D8%AF%D9%87'}]"
1380,7,29,کسب مقام اول جشنواره بین‌المللی طنز آندرومدا ایتالیا، توسط بهرام عظیمی، کاریکاتوریست,"[{'text': 'ایتالیا', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%AA%D8%A7%D9%84%DB%8C%D8%A7'}, {'text': 'بهرام عظیمی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D9%87%D8%B1%D8%A7%D9%85_%D8%B9%D8%B8%DB%8C%D9%85%DB%8C'}, {'text': 'کاریکاتوریست', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%B1%DB%8C%DA%A9%D8%A7%D8%AA%D9%88%D8%B1'}]"
1380,7,29,اعطای قلم زرین چهل و دومین دو سالانه تصویرگری بلگراد به رضا یوسف‌زاده، تصویرگر,"[{'text': 'بلگراد', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D9%84%DA%AF%D8%B1%D8%A7%D8%AF'}, {'text': 'تصویرگر', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D8%B5%D9%88%DB%8C%D8%B1%DA%AF%D8%B1'}, {'text': 'سال', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D9%84'}]"
1380,10,21,سیل فارس و بوشهر,[]
1380,11,23,حادثه ۲۳ بهمن توپولف تو-۱۵۴,"[{'text': 'بهمن', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D9%87%D9%85%D9%86'}, {'text': 'توپولف تو-۱۵۴', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D9%88%D9%BE%D9%88%D9%84%D9%81_%D8%AA%D9%88-%DB%B1%DB%B5%DB%B4'}, {'text': '۳ بهمن', 'url': 'https://fa.wikipedia.org/wiki/%DB%B3_%D8%A8%D9%87%D9%85%D9%86'}]"
1380,12,5,حادثه ۵ اسفند ایلیوشین ایل-۷۶ نیروی هوایی سپاه پاسداران انقلاب اسلامی,"[{'text': 'اسفند', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D9%81%D9%86%D8%AF'}, {'text': 'سپاه پاسداران انقلاب اسلامی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D9%BE%D8%A7%D9%87_%D9%BE%D8%A7%D8%B3%D8%AF%D8%A7%D8%B1%D8%A7%D9%86_%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C'}]"
1380,3,0,خرداد - انتخاب سید محمد خاتمی به ریاست جمهوری,"[{'text': 'سید محمد خاتمی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%AD%D9%85%D8%AF_%D8%AE%D8%A7%D8%AA%D9%85%DB%8C'}, {'text': 'محمد خاتمی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%AD%D9%85%D8%AF_%D8%AE%D8%A7%D8%AA%D9%85%DB%8C'}]"
1380,11,10,سقوط هواپیما توپولوف تهران - خرم‌آباد در سفیدکوه و کشته شدن هر ۱۱۹ مسافر این هواپیما,"[{'text': 'خرم\u200cآباد', 'url': 'https://fa.wikipedia.org/wiki/%D8%AE%D8%B1%D9%85%E2%80%8C%D8%A2%D8%A8%D8%A7%D8%AF'}, {'text': 'سفیدکوه', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D9%81%DB%8C%D8%AF%DA%A9%D9%88%D9%87'}]"
1380,11,10,نام برده شدن از ایران در کنار عراق و کره شمالی به عنوان 'محور شرارت' توسط جورج بوش,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'عراق', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%B1%D8%A7%D9%82'}, {'text': 'کره شمالی', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%B1%D9%87_%D8%B4%D9%85%D8%A7%D9%84%DB%8C'}]"
1380,7,15,آغاز یورش آمریکا به افغانستان برای سرنگونی طالبان,"[{'text': 'افغانستان', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86'}, {'text': 'طالبان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B7%D8%A7%D9%84%D8%A8%D8%A7%D9%86'}]"
1380,6,20,حملهٔ تروریستی ۱۱ سپتامبر به برج‌ها دوقلو نیویورک با حدود ۳ هزار کشته.,"[{'text': 'نیویورک', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%DB%8C%D9%88%DB%8C%D9%88%D8%B1%DA%A9'}]"
1381,2,14,حادثه پارک شهر تهران,"[{'text': 'حادثه پارک شهر تهران', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AF%D8%AB%D9%87_%D9%BE%D8%A7%D8%B1%DA%A9_%D8%B4%D9%87%D8%B1_%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}]"
1381,4,9,قهرمانی برزیل در جام جهانی ۲۰۰۲,[]
1381,5,8,ثبت ملی گورستان تاریخی بزلر هفشجان با شماره ثبت ۵۹۹۹ به‌عنوان یکی از آثار ملی ایران.,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'گورستان تاریخی بزلر هفشجان', 'url': 'https://fa.wikipedia.org/wiki/%DA%AF%D9%88%D8%B1%D8%B3%D8%AA%D8%A7%D9%86_%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE%DB%8C_%D8%A8%D8%B2%D9%84%D8%B1_%D9%87%D9%81%D8%B4%D8%AC%D8%A7%D9%86'}]"
1381,5,31,زمین‌لرزه بوئین‌زهرا,[]
1381,6,16,رقابت ۱۶ شهریور ۱۳۸۰ تیم ملی فوتبال ایران با تیم ملی فوتبال سوریه در مسابقات فوتبال غرب آسیا ۲۰۰۲,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'شهریور', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%87%D8%B1%DB%8C%D9%88%D8%B1'}, {'text': '۶ شهریور', 'url': 'https://fa.wikipedia.org/wiki/%DB%B6_%D8%B4%D9%87%D8%B1%DB%8C%D9%88%D8%B1'}]"
1381,6,23,آغاز قتل‌های محفلی کرمان,"[{'text': 'قتل\u200cهای محفلی کرمان', 'url': 'https://fa.wikipedia.org/wiki/%D9%82%D8%AA%D9%84%E2%80%8C%D9%87%D8%A7%DB%8C_%D9%85%D8%AD%D9%81%D9%84%DB%8C_%DA%A9%D8%B1%D9%85%D8%A7%D9%86'}]"
1381,7,17,به قتل رساندن فاطمه ( لاله ) سحرخیزان، خیّر و همسر اول ناصر محمدخانی,"[{'text': 'ناصر محمدخانی', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D8%B5%D8%B1_%D9%85%D8%AD%D9%85%D8%AF%D8%AE%D8%A7%D9%86%DB%8C'}]"
1381,7,26,پرده برداری از آخرین تابلوی نگارگری استاد محمود فرشچیان، موسوم به تابلوی علی‌اصغر در کاخ موزه سعدآباد,"[{'text': 'محمود فرشچیان', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D9%81%D8%B1%D8%B4%DA%86%DB%8C%D8%A7%D9%86'}, {'text': 'نگارگر', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D9%82%D8%A7%D8%B4%DB%8C'}, {'text': 'نگارگری', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%DA%AF%D8%A7%D8%B1%DA%AF%D8%B1%DB%8C_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%DB%8C'}, {'text': 'کاخ موزه سعدآباد', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%AE%E2%80%8C%D9%85%D9%88%D8%B2%D9%87_%D8%B3%D8%B9%D8%AF%D8%A2%D8%A8%D8%A7%D8%AF'}]"
1381,8,2,انشار آخرین شماره هفته نامه گل آقا,[]
1381,10,1,سقوط پرواز شماره ۲۱۳۷ آئرومیست-خارکیف,"[{'text': 'پرواز شماره ۲۱۳۷ آئرومیست-خارکیف', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%D8%A7%D8%B2_%D8%B4%D9%85%D8%A7%D8%B1%D9%87_%DB%B2%DB%B1%DB%B3%DB%B7_%D8%A2%D8%A6%D8%B1%D9%88%D9%85%DB%8C%D8%B3%D8%AA-%D8%AE%D8%A7%D8%B1%DA%A9%D9%88%D9%81'}]"
1381,10,2,حادثه ۲ دی آنتونوف-۱۴۰,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]"
1381,10,22,جنجال کاریکاتور چاپ شده روزنامه حیات نو,"[{'text': 'حیات نو', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%DB%8C%D8%A7%D8%AA_%D9%86%D9%88'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}]"
1381,11,30,سانحه سقوط هواپیمای ایلیوشین ایل-۷۶ سپاه,"[{'text': 'سانحه سقوط هواپیمای ایلیوشین ایل-۷۶ سپاه', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D9%86%D8%AD%D9%87_%D8%B3%D9%82%D9%88%D8%B7_%D9%87%D9%88%D8%A7%D9%BE%DB%8C%D9%85%D8%A7%DB%8C_%D8%A7%DB%8C%D9%84%DB%8C%D9%88%D8%B4%DB%8C%D9%86_%D8%A7%DB%8C%D9%84-%DB%B7%DB%B6_%D8%B3%D9%BE%D8%A7%D9%87'}]"
1381,1,0,فروردین - انتشار آلبوم خیالی نیست، شادمهر عقیلی.,"[{'text': 'خیالی نیست', 'url': 'https://fa.wikipedia.org/wiki/%D8%AE%DB%8C%D8%A7%D9%84%DB%8C_%D9%86%DB%8C%D8%B3%D8%AA'}, {'text': 'شادمهر عقیلی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D8%AF%D9%85%D9%87%D8%B1_%D8%B9%D9%82%DB%8C%D9%84%DB%8C'}]"
1381,3,3,در مسکو، جورج دبلیو بوش، رئیس‌جمهور ایالات متحده و ولادیمیر پوتین، رئیس‌جمهور روسیه، معاهده کاهش استراتژیک حمله را جایگزین پیمان موشکی ضد بالستیک ۱۹۷۲ و پیمان START II 1993 کردند.,[]
1381,1,9,مراسم تشییع جنازه الیزابت، ملکه مادر در کلیسای وست‌مینستر لندن برگزار می‌شود.,"[{'text': 'الیزابت، ملکه مادر', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D9%84%DB%8C%D8%B2%D8%A7%D8%A8%D8%AA%D8%8C_%D9%85%D9%84%DA%A9%D9%87_%D9%85%D8%A7%D8%AF%D8%B1'}, {'text': 'لندن', 'url': 'https://fa.wikipedia.org/wiki/%D9%84%D9%86%D8%AF%D9%86'}, {'text': 'کلیسای وست\u200cمینستر', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D9%84%DB%8C%D8%B3%D8%A7%DB%8C_%D9%88%D8%B3%D8%AA%E2%80%8C%D9%85%DB%8C%D9%86%D8%B3%D8%AA%D8%B1'}]"
1381,2,14,حادثه پارک شهر تهران در پارک شهر تهران,"[{'text': 'حادثه پارک شهر تهران', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AF%D8%AB%D9%87_%D9%BE%D8%A7%D8%B1%DA%A9_%D8%B4%D9%87%D8%B1_%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}]"
1381,7,17,جنایت میدان کتابی؛ قتل فاطمه سحرخیزان؛ خیّر و همسر اول ناصر محمدخانی,"[{'text': 'قتل', 'url': 'https://fa.wikipedia.org/wiki/%D9%82%D8%AA%D9%84'}, {'text': 'ناصر محمدخانی', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D8%B5%D8%B1_%D9%85%D8%AD%D9%85%D8%AF%D8%AE%D8%A7%D9%86%DB%8C'}]"
1381,1,26,پرواز ایر چین در هنگام بارندگی شدید و مه در نزدیکی بوسان، کره جنوبی به دامنه تپه سقوط کرد و منجر به کشته شدن ۱۲۹ نفر شد.,[]
1382,3,20,آغاز ناآرامی‌های تهران,[]
1382,8,13,تصویب سند چشم‌انداز ۱۴۰۴ ایران,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'سند چشم\u200cانداز ۱۴۰۴ ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D9%86%D8%AF_%DA%86%D8%B4%D9%85%E2%80%8C%D8%A7%D9%86%D8%AF%D8%A7%D8%B2_%DB%B1%DB%B4%DB%B0%DB%B4_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}]"
1382,9,28,آغاز فعالیت ویکی‌پدیای فارسی,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'ویکی\u200cپدیای فارسی', 'url': 'https://fa.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%E2%80%8C%D9%BE%D8%AF%DB%8C%D8%A7%DB%8C_%D9%81%D8%A7%D8%B1%D8%B3%DB%8C'}]"
1382,10,5,زمین‌لرزه بم,[]
1382,11,13,راه‌اندازی شبکه هامون,"[{'text': 'شبکه هامون', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A8%DA%A9%D9%87_%D9%87%D8%A7%D9%85%D9%88%D9%86'}]"
1382,11,21,حادثه ۲۱ بهمن فروند فوکر ۵۰ هواپیمایی کیش,"[{'text': 'بهمن', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D9%87%D9%85%D9%86'}, {'text': '۱ بهمن', 'url': 'https://fa.wikipedia.org/wiki/%DB%B1_%D8%A8%D9%87%D9%85%D9%86'}]"
1382,11,29,دیدار تیم ملی فوتبال ایران با تیم ملی فوتبال قطر در مقدماتی جام جهانی فوتبال ۲۰۰۶,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]"
1382,11,29,انفجار قطار نیشابور,"[{'text': 'انفجار قطار نیشابور', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D9%86%D9%81%D8%AC%D8%A7%D8%B1_%D9%82%D8%B7%D8%A7%D8%B1_%D9%86%DB%8C%D8%B4%D8%A7%D8%A8%D9%88%D8%B1'}]"
1382,12,0,اسفند - انتشار آلبوم آدم فروش، شادمهر عقیلی.,"[{'text': 'آدم فروش', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%AF%D9%85%E2%80%8C%D9%81%D8%B1%D9%88%D8%B4'}, {'text': 'شادمهر عقیلی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D8%AF%D9%85%D9%87%D8%B1_%D8%B9%D9%82%DB%8C%D9%84%DB%8C'}]"
1382,10,5,زمین‌لرزه بم,"[{'text': 'زمین\u200cلرزه بم', 'url': 'https://fa.wikipedia.org/wiki/%D8%B2%D9%85%DB%8C%D9%86%E2%80%8C%D9%84%D8%B1%D8%B2%D9%87_%DB%B1%DB%B3%DB%B8%DB%B2_%D8%A8%D9%85'}]"
1382,2,13,انتخاب محمود احمدی‌نژاد به‌عنوان شهردار تهران,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'شهردار تهران', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D9%87%D8%B1%D8%B3%D8%AA_%D8%B4%D9%87%D8%B1%D8%AF%D8%A7%D8%B1%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86'}, {'text': 'محمود احمدی\u200cنژاد', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D8%A7%D8%AD%D9%85%D8%AF%DB%8C%E2%80%8C%D9%86%DA%98%D8%A7%D8%AF'}]"
1382,9,22,دستگیری صدام حسین,"[{'text': 'صدام حسین', 'url': 'https://fa.wikipedia.org/wiki/%D8%B5%D8%AF%D8%A7%D9%85_%D8%AD%D8%B3%DB%8C%D9%86'}]"
1383,2,26,فاز نخست از فرودگاه بین‌المللی امام خمینی با حضور وزیر راه و ترابری و مقام‌های داخلی و خارجی بازگشایی شد,"[{'text': 'فرودگاه بین\u200cالمللی امام خمینی', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D9%88%D8%AF%DA%AF%D8%A7%D9%87_%D8%A8%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D9%85%D9%84%D9%84%DB%8C_%D8%A7%D9%85%D8%A7%D9%85_%D8%AE%D9%85%DB%8C%D9%86%DB%8C'}]"
1383,3,9,حادثه ۹ خرداد هلیکوپتر هوانیروز ارتش جمهوری اسلامی ایران,"[{'text': 'خرداد', 'url': 'https://fa.wikipedia.org/wiki/%D8%AE%D8%B1%D8%AF%D8%A7%D8%AF'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}]"
1383,3,17,برگزاری دادگاه خدیجه(شهلا)جاهد ، محکوم به جنایت قتل فاطمه(لاله)سحرخیزان (خیّر و همسر اول ناصر محمدخانی)‌,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'قتل', 'url': 'https://fa.wikipedia.org/wiki/%D9%82%D8%AA%D9%84'}, {'text': 'ناصر محمدخانی', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D8%B5%D8%B1_%D9%85%D8%AD%D9%85%D8%AF%D8%AE%D8%A7%D9%86%DB%8C'}]"
1383,4,1,رقابت ۱ تیر تیم ملی فوتبال ایران با تیم ملی فوتبال سوریه در مسابقات فوتبال غرب آسیا ۲۰۰۴,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}]"
1383,4,5,رقابت ۵ تیر تیم ملی فوتبال ایران با تیم ملی فوتبال سوریه در مسابقات فوتبال غرب آسیا ۲۰۰۴,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}]"
1383,5,10,رقابت ۱۰ مرداد تیم ملی فوتبال ایران با تیم ملی فوتبال کره جنوبی در جام ملت‌های آسیا ۲۰۰۴.,"[{'text': 'مرداد', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AF%D8%A7%D8%AF'}]"
1383,7,11,استعفا محمد علی ابطحی از مقام معاونت پارلمانی و حقوقی رئیس‌جمهور,[]
1383,7,22,رقابت ۲۲ مهر تیم ملی فوتبال ایران با تیم ملی فوتبال قطر در مقدماتی جام جهانی فوتبال ۲۰۰۶,"[{'text': '۲ مهر', 'url': 'https://fa.wikipedia.org/wiki/%DB%B2_%D9%85%D9%87%D8%B1'}]"
1383,8,2,گشایش نخستین جشنواره هنری قرآن کریم در تهران,[]
1383,9,29,حادثه ۲۹ آذر هلیکوپتر امداد هلال احمر استان فارس,"[{'text': 'آذر', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%B0%D8%B1'}, {'text': 'استان فارس', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D8%A7%D9%86_%D9%81%D8%A7%D8%B1%D8%B3'}, {'text': '۹ آذر', 'url': 'https://fa.wikipedia.org/wiki/%DB%B9_%D8%A2%D8%B0%D8%B1'}]"
1383,10,1,آغاز راه‌اندازی وبگاه کلوب,[]
1383,10,12,جینا گیز از ویسکانسین ایالات متحده از بیمارستان مرخص می شود و نخستین کسی می شود که بدون واکسیناسیون از هاری جان سالم به در برد.,"[{'text': 'ایالات متحده', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%A7%D9%84%D8%A7%D8%AA_%D9%85%D8%AA%D8%AD%D8%AF%D9%87_%D8%A2%D9%85%D8%B1%DB%8C%DA%A9%D8%A7'}, {'text': 'سال', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D9%84'}, {'text': 'هاری', 'url': 'https://fa.wikipedia.org/wiki/%D9%87%D8%A7%D8%B1%DB%8C'}, {'text': 'واکسیناسیون', 'url': 'https://fa.wikipedia.org/wiki/%D9%88%D8%A7%DA%A9%D8%B3%DB%8C%D9%86%D8%A7%D8%B3%DB%8C%D9%88%D9%86'}, {'text': 'ویسکانسین', 'url': 'https://fa.wikipedia.org/wiki/%D9%88%DB%8C%D8%B3%DA%A9%D8%A7%D9%86%D8%B3%DB%8C%D9%86'}]"
1383,10,16,اریس ، بزرگترین سیاره کوتوله در منظومه شمسی کشف شد.,"[{'text': 'اریس', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%DB%8C%D8%B3'}, {'text': 'سیاره کوتوله', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%A7%D8%B1%D9%87_%DA%A9%D9%88%D8%AA%D9%88%D9%84%D9%87'}, {'text': 'منظومه شمسی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%86%D8%B8%D9%88%D9%85%D9%87_%D8%B4%D9%85%D8%B3%DB%8C'}]"
1383,10,20,توافقنامه جامع صلح امضا می شود و دومین جنگ داخلی سودان پایان یافت.,"[{'text': 'دومین جنگ داخلی سودان', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D9%88%D9%85%DB%8C%D9%86_%D8%AC%D9%86%DA%AF_%D8%AF%D8%A7%D8%AE%D9%84%DB%8C_%D8%B3%D9%88%D8%AF%D8%A7%D9%86'}]"
1383,10,23,پ ایمپکت با هدف مطالعه دنباله دار تمپل ۱ به فضا پرتاب شد.,"[{'text': '۱', 'url': 'https://fa.wikipedia.org/wiki/%DB%B1'}]"
1383,10,24,آتش‌سوزی در مدرسه سفیلان,"[{'text': 'آتش\u200cسوزی در مدرسه سفیلان', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%AA%D8%B4%E2%80%8C%D8%B3%D9%88%D8%B2%DB%8C_%D8%AF%D8%B1_%D9%85%D8%AF%D8%B1%D8%B3%D9%87_%D8%B3%D9%81%DB%8C%D9%84%D8%A7%D9%86'}]"
1383,10,25,فضاپیمای هویگنس بر روی تیتان، بزرگترین قمر زحل فرود آمد.,"[{'text': 'تیتان', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%DB%8C%D8%AA%D8%A7%D9%86'}, {'text': 'زحل', 'url': 'https://fa.wikipedia.org/wiki/%D8%B2%D8%AD%D9%84'}, {'text': 'فضاپیمای هویگنس', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B6%D8%A7%D9%BE%DB%8C%D9%85%D8%A7%DB%8C_%D9%87%D9%88%DB%8C%DA%AF%D9%86%D8%B3'}, {'text': 'قم', 'url': 'https://fa.wikipedia.org/wiki/%D9%82%D9%85'}]"
1383,11,1,شدیدترین رویداد ذرات خورشیدی در تاریخ ثبت شد.,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]"
1383,11,21,برف و بوران گیلان,[]
1383,12,4,وقوع زمین لرزه در زرند,[]
