year,month,day,title,links,year_gregorian,month_gregorian,day_gregorian,link,link_english,title_english,Politics,Social,Natural Disaster,Science,Art,Sports,type,details,details_english,era_persian,era_english,date_gregorian,date
355,09,04,شهر تاریخی بیشاپور، در منطقه کازرون، طی گذشت ۶ سال، تکمیل شد.,"[{'text': 'بیشاپور', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%D8%B4%D8%A7%D9%BE%D9%88%D8%B1'}, {'text': 'سال', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D9%84'}, {'text': 'کازرون', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%B2%D8%B1%D9%88%D9%86'}]",976,11,24,,,"The historic city of Bishapur, in the Kazerun area, was completed for five years.",,,,,,,event,,,دوران اسلامی,Islamic Era,,"آذر 04, 355"
366,07,23,آغاز به کار رصدخانه دیلمی ایران به مدیریت ابوسهل کوهی طبری,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",987,10,15,,,The start of the Iranian Dilmi Observatory was managed by Abu Kuhi Kuhi Tabari,,,,,,,event,,,دوران اسلامی,Islamic Era,,"مهر 23, 366"
381,09,05,آخرین جنگ اردشیر بابکان، با رومیان، با پیروزی ایران، به پایان رسید.,"[{'text': 'اردشیر بابکان', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AF%D8%B4%DB%8C%D8%B1_%D8%A8%D8%A7%D8%A8%DA%A9%D8%A7%D9%86'}, {'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}, {'text': 'روم', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D9%85'}]",1002,11,27,https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AF%D8%B4%DB%8C%D8%B1_%D8%A8%D8%A7%D8%A8%DA%A9%D8%A7%D9%86,https://en.wikipedia.org/wiki/Ardashir_I,Ardashir I,1.0,,,,,,event,,,دوران اسلامی,Islamic Era,,"آذر 05, 381"
399,07,26,احداث شهر «به اردشیر» در ایالت کرمان، به دستور اردشیر ساسانی,"[{'text': 'اردشیر ساسانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AF%D8%B4%DB%8C%D8%B1_%D8%B3%D8%A7%D8%B3%D8%A7%D9%86%DB%8C'}, {'text': 'کرمان', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%B1%D9%85%D8%A7%D9%86'}]",1020,10,18,https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AF%D8%B4%DB%8C%D8%B1_%D8%B3%D8%A7%D8%B3%D8%A7%D9%86%DB%8C,<No English page found>,"Construction of Ardashir City in Kerman, Ardashir Sassanid",,,,,,,event,,,دوران اسلامی,Islamic Era,,"مهر 26, 399"
400,12,19,فردوسی چنان که در خود شاهنامه آمده در این روز سرایش شاهنامه را به پایان رساند,"[{'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}]",1022,03,10,,,Ferdowsi completed the Shahnameh as the Shahnameh himself,,,,,,,event,,,دوران اسلامی,Islamic Era,,"اسفند 19, 400"
409,02,10,محمود غزنوی,,1030,04,30,https://fa.wikipedia.org/wiki/%D8%B3%D9%84%D8%B7%D8%A7%D9%86_%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D8%BA%D8%B2%D9%86%D9%88%DB%8C,https://en.wikipedia.org/wiki/Mahmud_of_Ghazni,Mahmud of Ghazni,,,,,,,death,هفتمین شاه ایران از غزنویان,7th King of Iran from Ghaznavian,دوران اسلامی,Islamic Era,,"اردیبهشت 10, 409"
416,04,02,ابن‌سینا,,1037,06,23,https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%86_%D8%B3%DB%8C%D9%86%D8%A7,https://en.wikipedia.org/wiki/Avicenna,Avicenna,,,,,,,death,دانشمند، فیلسوف و پزشک,"Scientist, philosopher and physician",دوران اسلامی,Islamic Era,,"تیر 02, 416"
419,03,02,نبرد دندانقان,"[{'text': 'نبرد دندانقان', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D8%AF%D9%86%D8%AF%D8%A7%D9%86%D9%82%D8%A7%D9%86'}]",1040,05,23,https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D8%AF%D9%86%D8%AF%D8%A7%D9%86%D9%82%D8%A7%D9%86,https://en.wikipedia.org/wiki/Battle_of_Dandanaqan,Battle of Dandanaqan,1.0,,,,,,event,,,دوران اسلامی,Islamic Era,,"خرداد 02, 419"
428,10,22,ابوسعید ابوالخیر,,1050,01,12,https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D9%88%D8%B3%D8%B9%DB%8C%D8%AF_%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D8%AE%DB%8C%D8%B1,https://en.wikipedia.org/wiki/Abu_Sa%27id_Abu%27l-Khayr,<No English name found>,,,,,,,death,عارف و شاعر ایرانی,Iranian mystic and poet,دوران اسلامی,Islamic Era,,"دی 22, 428"
450,06,04,نبرد ملازگرد,"[{'text': 'نبرد ملازگرد', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%85%D9%84%D8%A7%D8%B2%DA%AF%D8%B1%D8%AF'}]",1071,08,26,https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%85%D9%84%D8%A7%D8%B2%DA%AF%D8%B1%D8%AF,https://en.wikipedia.org/wiki/Battle_of_Manzikert,Battle of Manzikert,1.0,,,,,,event,,,دوران اسلامی,Islamic Era,,"شهریور 04, 450"
508,12,15,زمین‌لرزه جبال,[],1130,03,06,,,Jabal earthquake,,,,,,,event,,,دوران اسلامی,Islamic Era,,"اسفند 15, 508"
522,07,16,تاج‌گذاری داریوش بزرگ,[],1143,10,09,,,Darius the Great Crown,,,,,,,event,,,دوران اسلامی,Islamic Era,,"مهر 16, 522"
525,08,26,آغاز ساختمان مسجد گوهرشاد در مشهد به دستور گوهرشاد,"[{'text': 'مسجد گوهرشاد', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B3%D8%AC%D8%AF_%DA%AF%D9%88%D9%87%D8%B1%D8%B4%D8%A7%D8%AF'}, {'text': 'مشهد', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B4%D9%87%D8%AF'}]",1146,11,17,https://fa.wikipedia.org/wiki/%D9%85%D8%B3%D8%AC%D8%AF_%DA%AF%D9%88%D9%87%D8%B1%D8%B4%D8%A7%D8%AF,https://en.wikipedia.org/wiki/Goharshad_Mosque,Goharshad Mosque,,,,,,,event,,,دوران اسلامی,Islamic Era,,"آبان 26, 525"
539,05,08,بازسازی بندر صور در فنیقیه با هزینه ایران به دستور کوروش بزرگ و تبدیل شدن این شهر به یکی از پایگاه های دریایی ایران در مدیترانه به مدت ۲ قرن.,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'فنیقیه', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D9%86%DB%8C%D9%82%DB%8C%E2%80%8C%D9%87%D8%A7'}, {'text': 'کوروش بزرگ', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D9%88%D8%B1%D9%88%D8%B4_%D8%A8%D8%B2%D8%B1%DA%AF'}]",1160,07,30,https://fa.wikipedia.org/wiki/%DA%A9%D9%88%D8%B1%D9%88%D8%B4_%D8%A8%D8%B2%D8%B1%DA%AF,https://en.wikipedia.org/wiki/Cyrus_the_Great,Cyrus the Great,,,,,,,event,,,دوران اسلامی,Islamic Era,,"مرداد 08, 539"
539,08,07,ورود کوروش بزرگ به دولت شهر بابل و آزاد کردن یهودیان,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",1160,10,29,,,Cyrus the Great entry into the Babylonian government and release the Jews,1.0,,,,,,event,,,دوران اسلامی,Islamic Era,,"آبان 07, 539"
551,12,18,ساخت تالار جدیدی در کاخ سفید (تیسفون) که به نام طاق کسری شهرت یافت، به پایان رسید,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'طاق کسری', 'url': 'https://fa.wikipedia.org/wiki/%D8%B7%D8%A7%D9%82_%DA%A9%D8%B3%D8%B1%DB%8C'}, {'text': 'کاخ سفید (تیسفون)', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%AE_%D8%B3%D9%81%DB%8C%D8%AF_(%D8%AA%DB%8C%D8%B3%D9%81%D9%88%D9%86)'}]",1173,03,09,https://fa.wikipedia.org/wiki/%D8%B7%D8%A7%D9%82_%DA%A9%D8%B3%D8%B1%DB%8C,https://en.wikipedia.org/wiki/Taq_Kasra,Taq Kasra,,,,,,,event,,,دوران اسلامی,Islamic Era,,"اسفند 18, 551"
559,07,22,تاج‌گذاری کوروش بزرگ,"[{'text': 'کوروش بزرگ', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D9%88%D8%B1%D9%88%D8%B4_%D8%A8%D8%B2%D8%B1%DA%AF'}]",1180,10,14,https://fa.wikipedia.org/wiki/%DA%A9%D9%88%D8%B1%D9%88%D8%B4_%D8%A8%D8%B2%D8%B1%DA%AF,https://en.wikipedia.org/wiki/Cyrus_the_Great,Cyrus the Great,,,,,,,event,,,دوران اسلامی,Islamic Era,,"مهر 22, 559"
572,12,28,طغرل سوم,,1194,03,19,https://fa.wikipedia.org/wiki/%D8%B7%D8%BA%D8%B1%D9%84_%D8%B3%D9%88%D9%85,https://en.wikipedia.org/wiki/Tughril_III,Tughril III,,,,,,,death,هفدهمین سلطان سلجوقیان ایران,17th Sultanate of Iran,دوران اسلامی,Islamic Era,,"اسفند 28, 572"
599,03,03,سپاه جبه نویان به دروازه های نیشابور رسید,"[{'text': 'جبه نویان', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D8%A8%D9%87_%D9%86%D9%88%DB%8C%D8%A7%D9%86'}]",1220,05,23,https://fa.wikipedia.org/wiki/%D8%AC%D8%A8%D9%87_%D9%86%D9%88%DB%8C%D8%A7%D9%86,https://en.wikipedia.org/wiki/Jebe,Jebe,,,,,,,event,,,دوران اسلامی,Islamic Era,,"خرداد 03, 599"
637,02,01,آغاز نگارش گلستان سعدی,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'سعدی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D8%B9%D8%AF%DB%8C'}, {'text': 'گلستان سعدی', 'url': 'https://fa.wikipedia.org/wiki/%DA%AF%D9%84%D8%B3%D8%AA%D8%A7%D9%86_%D8%B3%D8%B9%D8%AF%DB%8C'}]",1258,04,21,https://fa.wikipedia.org/wiki/%DA%AF%D9%84%D8%B3%D8%AA%D8%A7%D9%86_%D8%B3%D8%B9%D8%AF%DB%8C,https://en.wikipedia.org/wiki/Gulistan_(book),Gulistan (book),,,,,,,event,,,دوران اسلامی,Islamic Era,,"اردیبهشت 01, 637"
638,02,16,آغاز ساخت رصدخانه مراغه (سه شنبه۴ جمادی‌الاول ۶۵۷ قمری) که بعنوان روز مراغه نام دارد. این روز با هدف شناساندن فرهنگ و تمدن و مکتب مراغه، با تصویب شورای فرهنگی عمومی به مناسبت آغاز احداث رصدخانه تاریخی در این شهر روز مراغه نام گذاری شده‌است.,"[{'text': 'تصویب', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D8%B5%D9%88%DB%8C%D8%A8'}, {'text': 'تمدن', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D9%85%D8%AF%D9%86'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'رصدخانه مراغه', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D8%B5%D8%AF%D8%AE%D8%A7%D9%86%D9%87_%D9%85%D8%B1%D8%A7%D8%BA%D9%87'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}, {'text': 'شنبه', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%86%D8%A8%D9%87'}, {'text': 'فرهنگ', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D9%87%D9%86%DA%AF'}, {'text': 'مکتب', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%DA%A9%D8%AA%D8%A8'}, {'text': '۴ جمادی\u200cالاول', 'url': 'https://fa.wikipedia.org/wiki/%DB%B4_%D8%AC%D9%85%D8%A7%D8%AF%DB%8C%E2%80%8C%D8%A7%D9%84%D8%A7%D9%88%D9%84'}]",1259,05,06,https://fa.wikipedia.org/wiki/%D8%B1%D8%B5%D8%AF%D8%AE%D8%A7%D9%86%D9%87_%D9%85%D8%B1%D8%A7%D8%BA%D9%87,https://en.wikipedia.org/wiki/Maragheh_observatory,Maragheh observatory,,1.0,,,,,event,,,دوران اسلامی,Islamic Era,,"اردیبهشت 16, 638"
663,08,02,کشته شدن خواجه شمس‌الدین جوینی، (صاحبدیوان)، ادیب، شاعر و وزیر ارغون‌خان (چهارمین ایلخانان),"[{'text': 'ادیب', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AF%D8%A8%DB%8C%D8%A7%D8%AA'}, {'text': 'ارغون\u200cخان', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%BA%D9%88%D9%86%E2%80%8C%D8%AE%D8%A7%D9%86'}, {'text': 'ایلخانان', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D9%84%D8%AE%D8%A7%D9%86%D8%A7%D9%86'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'شاعر', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D8%B9%D8%B1'}, {'text': 'شمس\u200cالدین جوینی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%85%D8%B3%E2%80%8C%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D9%85%D8%AD%D9%85%D8%AF_%D8%AC%D9%88%DB%8C%D9%86%DB%8C'}, {'text': 'وزیر', 'url': 'https://fa.wikipedia.org/wiki/%D9%88%D8%B2%DB%8C%D8%B1'}]",1284,10,23,https://fa.wikipedia.org/wiki/%D8%B4%D9%85%D8%B3%E2%80%8C%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D9%85%D8%AD%D9%85%D8%AF_%D8%AC%D9%88%DB%8C%D9%86%DB%8C,https://en.wikipedia.org/wiki/Shams_al-Din_Juvayni,Shams al-Din Juvayni,1.0,,,,,,event,,,دوران اسلامی,Islamic Era,,"آبان 02, 663"
663,08,02,شمس‌الدین جوینی,,1284,10,23,https://fa.wikipedia.org/wiki/%D8%B4%D9%85%D8%B3%E2%80%8C%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D9%85%D8%AD%D9%85%D8%AF_%D8%AC%D9%88%DB%8C%D9%86%DB%8C,https://en.wikipedia.org/wiki/Shams_al-Din_Juvayni,Shams al-Din Juvayni,,,,,,,death,از شعراء، نویسندگان و وزراء بنام ایرانی که در رودخانه اهر کشته شد,"From poets, writers and ministers in the name of an Iranian killed in the Ahar River",دوران اسلامی,Islamic Era,,"آبان 02, 663"
717,04,18,عبدالرزاق باشتینی,,1338,07,09,https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B1%D8%B2%D8%A7%D9%82_%D8%A8%D8%A7%D8%B4%D8%AA%DB%8C%D9%86%DB%8C,<No English page found>,Abdul Razaq Bashti,,,,,,,death,اولین حاکم سربداران در ایران,The first ruler of the leaders in Iran,دوران اسلامی,Islamic Era,,"تیر 18, 717"
724,01,04,امین‌الدین بلیانی,,1345,03,24,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%A8%D9%84%DB%8C%D8%A7%D9%86%DB%8C,https://en.wikipedia.org/wiki/Amin_al-Din_Balyani,Amin al-Din Balyani,,,,,,,death,شاعر، صوفی و شیخ‌الاسلام فارس در دورهٔ حکومت آل اینجو,"Poet, Sufi and Sheikh al -Islam Fars during the reign of Al -Injo",دوران اسلامی,Islamic Era,,"فروردین 04, 724"
