date_jalali,date_gregorian,title,title_english,category,persian_wiki_links,english_wiki_links,details,era_persian,era_english
1275-01-13,1896-04-01,محمدحسن اعتمادالسلطنه,<No English name found>,death,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AD%D8%B3%D9%86_%D8%A7%D8%B9%D8%AA%D9%85%D8%A7%D8%AF%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D9%86%D9%87,https://en.wikipedia.org/wiki/Mohammad_Hasan_Khan_E%27temad_os-Saltaneh,نویسنده و سیاستمدار,قاجار,Qajar
1275-02-12,1896-05-01,ناصرالدین‌شاه,Naser al-Din Shah Qajar,death,https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D8%B5%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Naser_al-Din_Shah_Qajar,چهارمین شاه ایران از دودمان قاجار,قاجار,Qajar
1275-04-27,1896-07-17,میرزا آقاخان کرمانی,Mirza Aqa Khan Kermani,death,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%D8%A2%D9%82%D8%A7%D8%AE%D8%A7%D9%86_%DA%A9%D8%B1%D9%85%D8%A7%D9%86%DB%8C,https://en.wikipedia.org/wiki/Mirza_Aqa_Khan_Kermani,از طرفداران جنبش مشروطه ایران و نویسنده,قاجار,Qajar
1275-04-27,1896-07-17,احمد روحی,Sheikh Ahmad Rouhi,death,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%D8%B1%D9%88%D8%AD%DB%8C,https://en.wikipedia.org/wiki/Sheikh_Ahmad_Rouhi,از طرفداران جنبش مشروطه ایران و شاعر,قاجار,Qajar
1275-05-21,1896-08-11,میرزا رضا کرمانی,Mirza Reza Kermani,death,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%D8%B1%D8%B6%D8%A7_%DA%A9%D8%B1%D9%85%D8%A7%D9%86%DB%8C,https://en.wikipedia.org/wiki/Mirza_Reza_Kermani,از شاگردان سید جمال‌الدین اسدآبادی و قاتل ناصرالدین شاه,قاجار,Qajar
1277-07-26,1898-10-18,انتشار روزنامه تندرو مساوات، به مدیریت سید محمدرضا شیرازی، در تهران,"The publication of the hard -line Equal newspaper, managed by Seyyed Mohammad Reza Shirazi, in Tehran",event,,,,قاجار,Qajar
1279-09-21,1900-12-12,ورود اولین اتومبیل به ایران در زمان مظفرالدین شاه قاجار,Mozaffar ad-Din Shah Qajar,event,https://fa.wikipedia.org/wiki/%D9%85%D8%B8%D9%81%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mozaffar_ad-Din_Shah_Qajar,,قاجار,Qajar
1280-03-07,1901-05-28,امتیازنامه دارسی بین حکومت ایران با ویلیام ناکس دارسی امضا شد,<No English name found>,event,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%D8%AA%DB%8C%D8%A7%D8%B2%D9%86%D8%A7%D9%85%D9%87_%D8%AF%D8%A7%D8%B1%D8%B3%DB%8C,https://en.wikipedia.org/wiki/D%27Arcy_Concession,,قاجار,Qajar
1282-08-07,1903-10-30,احترام‌السلطنه,Respect al -Saltanah,death,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%85%E2%80%8C%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D9%86%D9%87,<No English page found>,شاهزاده قاجار و دختر دوم مظفرالدین‌شاه قاجار,قاجار,Qajar
1284-01-05,1905-03-25,محمدحسن ممقانی,Mohammad Hassan Moghani,death,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AD%D8%B3%D9%86_%D9%85%D9%85%D9%82%D8%A7%D9%86%DB%8C,<No English page found>,فقیه,قاجار,Qajar
1284-02-03,1905-04-23,آغاز تحصن بازرگانان در حرم عبدالعظیم در آستانه سفر مظفرالدین شاه به اروپا,Mozaffar ad-Din Shah Qajar,event,https://fa.wikipedia.org/wiki/%D9%85%D8%B8%D9%81%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mozaffar_ad-Din_Shah_Qajar,,قاجار,Qajar
1285-04-24,1906-07-16,مهاجرت علما و مردم تهران به قم و آغاز هجرت کبری در جریان نهضت مشروطه,Migration of Tehran's scholars and people to Qom and the beginning of Kobra Hijra during the Constitutional Movement,event,,,,قاجار,Qajar
1285-05-13,1906-08-05,صدور فرمان مشروطیت در ایران، توسط مظفرالدین شاه پنجمین شاه قاجار,Issuance of Constitutional Decree in Iran by Mozaffar al -Din Shah Qajar,event,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D9%85%D8%A7%D9%86_%D9%85%D8%B4%D8%B1%D9%88%D8%B7%DB%8C%D8%AA,<No English page found>,,قاجار,Qajar
1285-05-14,1906-08-06,صدور فرمان مشروطیت.,Issuance of Constitutional Decree.,event,https://fa.wikipedia.org/wiki/%D9%81%D8%B1%D9%85%D8%A7%D9%86_%D9%85%D8%B4%D8%B1%D9%88%D8%B7%DB%8C%D8%AA,<No English page found>,,قاجار,Qajar
1285-06-17,1906-09-09,توشیح نظامنامه انتخابات اصنافی توسط مظفرالدین‌شاه قاجار,Mozaffar ad-Din Shah Qajar,event,https://fa.wikipedia.org/wiki/%D9%85%D8%B8%D9%81%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mozaffar_ad-Din_Shah_Qajar,,قاجار,Qajar
1285-06-17,1906-09-09,برکناری عین‌الدوله از رئیس‌الوزرایی توسط مظفرالدین‌شاه,The removal of Ein al -Dawlah from the Al -Dawrai by Mozaffar al -Din Shah,event,,,,قاجار,Qajar
1285-06-25,1906-09-17,برگزاری نخستین انتخابات مجلس شورای ملی,Holding the first National Assembly elections,event,,,,قاجار,Qajar
1285-08-18,1906-11-10,رد دریافت وام دو و نیم میلیون تومانی دولت از خارج توسط مجلس شورای ملی با استدلال تضعیف حاکمیت ملی,National Consultative Assembly,event,https://fa.wikipedia.org/wiki/%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D9%85%D9%84%DB%8C,https://en.wikipedia.org/wiki/National_Consultative_Assembly,,قاجار,Qajar
1285-09-03,1906-11-25,آغاز انتشار روزنامه مجلس,The beginning of the publication of the Majlis newspaper,event,,,,قاجار,Qajar
1285-10-08,1906-12-30,مظفرالدین‌شاه قانون اساسی مشروطه را امضا کرد,Persian Constitution of 1906,event,https://fa.wikipedia.org/wiki/%D9%82%D8%A7%D9%86%D9%88%D9%86_%D8%A7%D8%B3%D8%A7%D8%B3%DB%8C_%D9%85%D8%B4%D8%B1%D9%88%D8%B7%D9%87,https://en.wikipedia.org/wiki/Persian_Constitution_of_1906,,قاجار,Qajar
1285-10-28,1907-01-19,آغاز رسمی سلطنت محمدعلی‌شاه,The official beginning of the reign of Mohammad Ali Shah,event,,,,قاجار,Qajar
1286-03-12,1907-06-03,بنیان‌گذاری شهرداری تهران,Tehran,event,https://fa.wikipedia.org/wiki/%D8%B4%D9%87%D8%B1%D8%AF%D8%A7%D8%B1%DB%8C_%D8%AA%D9%87%D8%B1%D8%A7%D9%86,https://en.wikipedia.org/wiki/Tehran_Municipality,,قاجار,Qajar
1286-05-10,1907-08-02,تجاوز نظامی عثمانی به ایران با سوءاستفاده از اوضاع کشور در جریان مشروطه.,Ottoman military invasion of Iran by abusing the country's situation during the constitution.,event,,,,قاجار,Qajar
1286-06-08,1907-08-31,امضا شدن قرارداد سن پترزبورگ میان امپراتوری روسیه و امپراتوری بریتانیا در مورد ایران,Anglo-Russian Convention,event,https://fa.wikipedia.org/wiki/%D9%82%D8%B1%D8%A7%D8%B1%D8%AF%D8%A7%D8%AF_%D8%B3%D9%86_%D9%BE%D8%AA%D8%B1%D8%B2%D8%A8%D9%88%D8%B1%DA%AF,https://en.wikipedia.org/wiki/Anglo-Russian_Convention,,قاجار,Qajar
1286-06-11,1907-09-03,مهدی بازرگان، اولین نخست وزیر ایران پس از انقلاب سال ۵۷,Mehdi Bazargan,event,https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%AF%DB%8C_%D8%A8%D8%A7%D8%B2%D8%B1%DA%AF%D8%A7%D9%86,https://en.wikipedia.org/wiki/Mehdi_Bazargan,,قاجار,Qajar
1286-06-18,1907-09-10,آغاز انتشار روزنامه نسیم شمال,Nasim-e-Shomal,event,https://fa.wikipedia.org/wiki/%D9%86%D8%B3%DB%8C%D9%85_%D8%B4%D9%85%D8%A7%D9%84,https://en.wikipedia.org/wiki/Nasim-e-Shomal,,قاجار,Qajar
1286-07-14,1907-10-07,متمم قانون اساسی مشروطه بدست محمدعلی شاه قاجار امضا شد,Persian Constitutional Amendment of 1907,event,https://fa.wikipedia.org/wiki/%D9%85%D8%AA%D9%85%D9%85_%D9%82%D8%A7%D9%86%D9%88%D9%86_%D8%A7%D8%B3%D8%A7%D8%B3%DB%8C_%D9%85%D8%B4%D8%B1%D9%88%D8%B7%D9%87,https://en.wikipedia.org/wiki/Persian_Constitutional_Amendment_of_1907,,قاجار,Qajar
1286-08-03,1907-10-26,شکل‌گیری کابینه میرزا ابوالقاسم خان ناصرالملک در زمان محمدعلی شاه قاجار,Mohammad Ali Shah Qajar,event,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mohammad_Ali_Shah_Qajar,,قاجار,Qajar
1286-09-05,1907-11-27,مجلس جدید التاسیس شورا، بودجه دربار را سیصد هزار تومان کسر و به پانصد هزار تومان کاهش داد و شهریه زنان ناصرالدین شاه را هم حذف کرد، که این عمل، شروع دشمنی محمدعلی شاه قاجار با مجلس بود.,Mohammad Ali Shah Qajar,event,https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C%E2%80%8C%D8%B4%D8%A7%D9%87,https://en.wikipedia.org/wiki/Mohammad_Ali_Shah_Qajar,,قاجار,Qajar
1286-09-21,1907-12-13,آغاز واقعه میدان توپخانه,The beginning of the artillery field,event,https://fa.wikipedia.org/wiki/%D9%88%D8%A7%D9%82%D8%B9%D9%87_%D9%85%DB%8C%D8%AF%D8%A7%D9%86_%D8%AA%D9%88%D9%BE%D8%AE%D8%A7%D9%86%D9%87,<No English page found>,,قاجار,Qajar
1286-11-18,1908-02-08,تصویب اولین قانون مطبوعات در مجلس شورای ملی,National Consultative Assembly,event,https://fa.wikipedia.org/wiki/%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D9%85%D9%84%DB%8C,https://en.wikipedia.org/wiki/National_Consultative_Assembly,,قاجار,Qajar
1287-03-05,1908-05-26,کشف نخستین چاه میدان نفتی مسجد سلیمان,Masjed Soleyman oil field,event,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%AF%D8%A7%D9%86_%D9%86%D9%81%D8%AA%DB%8C_%D9%85%D8%B3%D8%AC%D8%AF_%D8%B3%D9%84%DB%8C%D9%85%D8%A7%D9%86,https://en.wikipedia.org/wiki/Masjed_Soleyman_oil_field,,قاجار,Qajar
1287-04-02,1908-06-23,به‌توپ بستن مجلس,1908 bombardment of the Majlis,event,https://fa.wikipedia.org/wiki/%D8%A8%D9%87%E2%80%8C%D8%AA%D9%88%D9%BE_%D8%A8%D8%B3%D8%AA%D9%86_%D9%85%D8%AC%D9%84%D8%B3,https://en.wikipedia.org/wiki/1908_bombardment_of_the_Majlis,,قاجار,Qajar
1287-04-02,1908-06-23,آغاز استبداد صغیر,Minor Tyranny,event,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D8%A8%D8%AF%D8%A7%D8%AF_%D8%B5%D8%BA%DB%8C%D8%B1,https://en.wikipedia.org/wiki/Minor_Tyranny,,قاجار,Qajar
1287-04-02,1908-06-23,آغاز قیام و محاصره مشروطه‌خواهان تبریز,<No English name found>,event,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D9%85_%D9%88_%D9%85%D8%AD%D8%A7%D8%B5%D8%B1%D9%87_%D9%85%D8%B4%D8%B1%D9%88%D8%B7%D9%87%E2%80%8C%D8%AE%D9%88%D8%A7%D9%87%D8%A7%D9%86_%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2,https://en.wikipedia.org/wiki/Siege_of_Tabriz_(1908%E2%80%931909),,قاجار,Qajar
1287-04-02,1908-06-23,جهانگیرخان صور اسرافیل,Mirza Jahangir Khan,death,https://fa.wikipedia.org/wiki/%D8%AC%D9%87%D8%A7%D9%86%DA%AF%DB%8C%D8%B1%D8%AE%D8%A7%D9%86_%D8%B5%D9%88%D8%B1_%D8%A7%D8%B3%D8%B1%D8%A7%D9%81%DB%8C%D9%84,https://en.wikipedia.org/wiki/Mirza_Jahangir_Khan,روزنامه‌نگار دوره مشروطیت,قاجار,Qajar
1287-04-02,1908-06-23,ملک‌المتکلمین,King al -Mutlakin,death,https://fa.wikipedia.org/wiki/%D9%85%D9%84%DA%A9%E2%80%8C%D8%A7%D9%84%D9%85%D8%AA%DA%A9%D9%84%D9%85%DB%8C%D9%86,<No English page found>,خطیب و از اعضای جنبش مشروطه ایران,قاجار,Qajar
1287-07-22,1908-10-14,عزل عبدالمجید میرزا عین الدوله، والی آذربایجان، در پی شکست نیروهای دولتی از مشروطه خواهان تبریز,Abdol Majid Mirza,event,https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%85%D8%AC%DB%8C%D8%AF_%D8%B9%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87,https://en.wikipedia.org/wiki/Abdol_Majid_Mirza,,قاجار,Qajar
1287-08-22,1908-11-13,مخالفت شیخ فضل‌الله نوری با مشروطیت,Fazlullah Nouri,event,https://fa.wikipedia.org/wiki/%D8%B4%DB%8C%D8%AE_%D9%81%D8%B6%D9%84%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D9%86%D9%88%D8%B1%DB%8C,https://en.wikipedia.org/wiki/Fazlullah_Nouri,,قاجار,Qajar
1287-11-03,1909-01-23,زمین‌لرزه بروجرد,Boroujerd earthquake,event,,,,قاجار,Qajar
1288-01-30,1909-04-19,هوارد باسکرویل,Howard Baskerville,death,https://fa.wikipedia.org/wiki/%D9%87%D9%88%D8%A7%D8%B1%D8%AF_%D8%A8%D8%A7%D8%B3%DA%A9%D8%B1%D9%88%DB%8C%D9%84,https://en.wikipedia.org/wiki/Howard_Baskerville,آموزگار آمریکایی مدرسه مموریال تبریز,قاجار,Qajar
