year,month,day,person,details,link,person_link,year_gregorian,month_gregorian,day_gregorian,person_link_english,person_name_english,details_english
1316,6,20,رضا کمال شهرزاد,نمایشنامه نویس,"[{'text': 'رضا کمال شهرزاد', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7_%DA%A9%D9%85%D8%A7%D9%84'}]",https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7_%DA%A9%D9%85%D8%A7%D9%84,1937,9,11,https://en.wikipedia.org/wiki/Shahrzad_(Reza_Kamal),Shahrzad (Reza Kamal),Playwright
1316,9,10,سید حسن مدرس,روحانی و نماینده مجلس شورای ملی (زادروز ۱۲۴۹),"[{'text': 'سید حسن مدرس', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%D9%86_%D9%85%D8%AF%D8%B1%D8%B3'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%D9%86_%D9%85%D8%AF%D8%B1%D8%B3,1937,12,1,https://en.wikipedia.org/wiki/Hassan_Modarres,Hassan Modarres,Rouhani and National Assembly MP (Birthday 1)
1316,10,12,یوسف اعتصامی,مترجم,"[{'text': 'یوسف اعتصامی', 'url': 'https://fa.wikipedia.org/wiki/%DB%8C%D9%88%D8%B3%D9%81_%D8%A7%D8%B9%D8%AA%D8%B5%D8%A7%D9%85%DB%8C'}]",https://fa.wikipedia.org/wiki/%DB%8C%D9%88%D8%B3%D9%81_%D8%A7%D8%B9%D8%AA%D8%B5%D8%A7%D9%85%DB%8C,1938,1,2,https://en.wikipedia.org/wiki/Yussef_E%27tesami,<No English name found>,Translator
1316,10,20,فیروز فیروز,سیاستمدار ایرانی در اواخر دوره قاجار واوایل دوره پهلوی,"[{'text': 'فیروز فیروز', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%DB%8C%D8%B1%D9%88%D8%B2_%D9%81%DB%8C%D8%B1%D9%88%D8%B2'}]",https://fa.wikipedia.org/wiki/%D9%81%DB%8C%D8%B1%D9%88%D8%B2_%D9%81%DB%8C%D8%B1%D9%88%D8%B2,1938,1,10,https://en.wikipedia.org/wiki/Firouz_Nosrat-ed-Dowleh_III,Firouz Nosrat-ed-Dowleh III,Iranian politician in the late Qajar period and Pahlavi period
1318,8,30,عبدالحسین میرزا فرمانفرما,سیاستمدار ایرانی در دوره قاجار,"[{'text': 'عبدالحسین میرزا فرمانفرما', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AD%D8%B3%DB%8C%D9%86_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%D9%81%D8%B1%D9%85%D8%A7%D9%86%D9%81%D8%B1%D9%85%D8%A7'}]",https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AD%D8%B3%DB%8C%D9%86_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%D9%81%D8%B1%D9%85%D8%A7%D9%86%D9%81%D8%B1%D9%85%D8%A7,1939,11,22,https://en.wikipedia.org/wiki/Abdol-Hossein_Farman_Farma,Abdol-Hossein Farman Farma,Iranian politician in the Qajar period
1318,11,14,تقی ارانی,فعال سیاسی کمونیست در ایران,"[{'text': 'تقی ارانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D9%82%DB%8C_%D8%A7%D8%B1%D8%A7%D9%86%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%AA%D9%82%DB%8C_%D8%A7%D8%B1%D8%A7%D9%86%DB%8C,1940,2,4,https://en.wikipedia.org/wiki/Taqi_Arani,Taqi Arani,Communist political activist in Iran
1321,2,9,ناصر دیوان کازرونی,رهبر قیام مردم کازرون و فارس علیه استعمار انگلستان,"[{'text': 'ناصر دیوان کازرونی', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D8%B5%D8%B1_%D8%AF%DB%8C%D9%88%D8%A7%D9%86_%DA%A9%D8%A7%D8%B2%D8%B1%D9%88%D9%86%DB%8C'}, {'text': 'کازرون', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%B2%D8%B1%D9%88%D9%86'}]",https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D8%B5%D8%B1_%D8%AF%DB%8C%D9%88%D8%A7%D9%86_%DA%A9%D8%A7%D8%B2%D8%B1%D9%88%D9%86%DB%8C,1942,4,29,https://en.wikipedia.org/wiki/Naser_Divan_Kazeruni,Naser Divan Kazeruni,The leader of the uprising of the people of Kazerun and Fars against British colonialism
1321,10,8,وحید دستگردی,شاعر,"[{'text': 'وحید دستگردی', 'url': 'https://fa.wikipedia.org/wiki/%D9%88%D8%AD%DB%8C%D8%AF_%D8%AF%D8%B3%D8%AA%DA%AF%D8%B1%D8%AF%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%88%D8%AD%DB%8C%D8%AF_%D8%AF%D8%B3%D8%AA%DA%AF%D8%B1%D8%AF%DB%8C,1942,12,29,https://en.wikipedia.org/wiki/Vahid_Dasgardi,Vahid Dasgardi,poet
1324,12,20,احمد کسروی,تاریخ‌نویس,"[{'text': 'احمد کسروی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%DA%A9%D8%B3%D8%B1%D9%88%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%DA%A9%D8%B3%D8%B1%D9%88%DB%8C,1946,3,11,https://en.wikipedia.org/wiki/Ahmad_Kasravi,Ahmad Kasravi,Historian
1325,11,8,سید علی قاضی,فقیه و عارف شیعه,"[{'text': 'سید علی قاضی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B9%D9%84%DB%8C_%D9%82%D8%A7%D8%B6%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B9%D9%84%DB%8C_%D9%82%D8%A7%D8%B6%DB%8C,1947,1,28,https://en.wikipedia.org/wiki/Ali_Tabatabaei,Ali Tabatabaei,Shiite jurist
1329,4,17,حاج مرزوق عرب حائری,روحانی و مداح عراقی,"[{'text': 'حاج مرزوق عرب حائری', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AC_%D9%85%D8%B1%D8%B2%D9%88%D9%82_%D8%B9%D8%B1%D8%A8_%D8%AD%D8%A7%D8%A6%D8%B1%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AC_%D9%85%D8%B1%D8%B2%D9%88%D9%82_%D8%B9%D8%B1%D8%A8_%D8%AD%D8%A7%D8%A6%D8%B1%DB%8C,1950,7,8,<No English page found>,Hajj Marzouq Arab Haeri,Iraqi
1329,4,21,مصطفی عدل,حقوقدان و سیاستمدار,"[{'text': 'مصطفی عدل', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B5%D8%B7%D9%81%DB%8C_%D8%B9%D8%AF%D9%84'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%B5%D8%B7%D9%81%DB%8C_%D8%B9%D8%AF%D9%84,1950,7,12,https://en.wikipedia.org/wiki/Mostafa_Adl,Mostafa Adl,Lawyer and politician
1329,11,14,حسن وثوق‌الدوله,سیاستمدار ایرانی در اواخر دوره قاجار و اوایل دوره پهلوی و از صدراعظم‌های ایرانی,"[{'text': 'وثوق\u200cالدوله', 'url': 'https://fa.wikipedia.org/wiki/%D9%88%D8%AB%D9%88%D9%82%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87'}]",https://fa.wikipedia.org/wiki/%D9%88%D8%AB%D9%88%D9%82%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87,1951,2,3,https://en.wikipedia.org/wiki/Vosugh_od-Dowleh,Vosugh od-Dowleh,Iranian politician in the late Qajar and early Pahlavi period and Iranian Chancellor
1329,12,16,حاجعلی رزم‌آرا,نخست‌وزیر وقت ایران,"[{'text': 'حاجعلی رزم\u200cآرا', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AC%D8%B9%D9%84%DB%8C_%D8%B1%D8%B2%D9%85%E2%80%8C%D8%A2%D8%B1%D8%A7'}]",https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AC%D8%B9%D9%84%DB%8C_%D8%B1%D8%B2%D9%85%E2%80%8C%D8%A2%D8%B1%D8%A7,1951,3,7,https://en.wikipedia.org/wiki/Haj_Ali_Razmara,Haj Ali Razmara,Iran's then Prime Minister
1334,10,27,نواب صفوی,طلبه و بنیانگذار گروه فدائیان اسلام در ایران,"[{'text': 'نواب صفوی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%AC%D8%AA%D8%A8%DB%8C_%D9%86%D9%88%D8%A7%D8%A8_%D8%B5%D9%81%D9%88%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%AC%D8%AA%D8%A8%DB%8C_%D9%86%D9%88%D8%A7%D8%A8_%D8%B5%D9%81%D9%88%DB%8C,1956,1,18,https://en.wikipedia.org/wiki/Navvab_Safavi,Navvab Safavi,Fadaiyan Islam Group in Iran
1334,11,21,عباس اقبال آشتیانی,نویسنده، تاریخ‌نگار و استاد دانشگاه,"[{'text': 'عباس اقبال آشتیانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%A7%D8%B3_%D8%A7%D9%82%D8%A8%D8%A7%D9%84_%D8%A2%D8%B4%D8%AA%DB%8C%D8%A7%D9%86%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%A7%D8%B3_%D8%A7%D9%82%D8%A8%D8%A7%D9%84_%D8%A2%D8%B4%D8%AA%DB%8C%D8%A7%D9%86%DB%8C,1956,2,11,https://en.wikipedia.org/wiki/Abbas_Eqbal_Ashtiani,Abbas Eqbal Ashtiani,"Author, historian and professor"
1334,12,7,علی‌اکبر دهخدا,نویسنده، پژوهشگر و گردآورندهٔ لغت‌نامه دهخدا,"[{'text': 'علی\u200cاکبر دهخدا', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%E2%80%8C%D8%A7%DA%A9%D8%A8%D8%B1_%D8%AF%D9%87%D8%AE%D8%AF%D8%A7'}]",https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%E2%80%8C%D8%A7%DA%A9%D8%A8%D8%B1_%D8%AF%D9%87%D8%AE%D8%AF%D8%A7,1956,2,27,https://en.wikipedia.org/wiki/Ali-Akbar_Dehkhoda,Ali-Akbar Dehkhoda,"Dehkhoda Dictionary Author, Researcher and Collection"
1335,5,28,طغرل افشار,از نخستین پیشگامان نقد سینمایی در ایران و بانی برگزاری اولین جشنواره فیلم در ایران بوده‌است.,"[{'text': 'طغرل افشار', 'url': 'https://fa.wikipedia.org/wiki/%D8%B7%D8%BA%D8%B1%D9%84_%D8%A7%D9%81%D8%B4%D8%A7%D8%B1'}]",https://fa.wikipedia.org/wiki/%D8%B7%D8%BA%D8%B1%D9%84_%D8%A7%D9%81%D8%B4%D8%A7%D8%B1,1956,8,19,<No English page found>,Togharl Afshar,One of the first pioneers of cinema criticism in Iran and the sponsor has been the first film festival in Iran.
1335,11,23,سید نورالدین الهاشمی شیرازی-فقیه اصولی,فعال سیاسی و یکی از مراجع تقلید شیعه (زاده ۱۲۷۴),"[{'text': 'سید نورالدین الهاشمی شیرازی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%86%D9%88%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%A7%D9%84%D9%87%D8%A7%D8%B4%D9%85%DB%8C_%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%86%D9%88%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%A7%D9%84%D9%87%D8%A7%D8%B4%D9%85%DB%8C_%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2%DB%8C,1957,2,12,<No English page found>,Seyed Noureddin al-Hashimi Shirazi-Faqih,Political activist and one of the Shiite imitation authorities (born 2)
1336,2,20,مرتضی‌قلی بیات,سیاستمدار و نخست‌وزیر ایران در زمان محمدرضاشاه پهلوی.,"[{'text': 'مرتضی\u200cقلی بیات', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AA%D8%B6%DB%8C%E2%80%8C%D9%82%D9%84%DB%8C_%D8%A8%DB%8C%D8%A7%D8%AA'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AA%D8%B6%DB%8C%E2%80%8C%D9%82%D9%84%DB%8C_%D8%A8%DB%8C%D8%A7%D8%AA,1957,5,10,https://en.wikipedia.org/wiki/Morteza-Qoli_Bayat,Morteza-Qoli Bayat,Iranian politician and prime minister during the time of Mohammad Reza Shah Pahlavi.
1336,10,21,دادشاه,مبارز بلوچ در زمان محمدرضاشاه پهلوی,"[{'text': 'دادشاه', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D8%AF%D8%B4%D8%A7%D9%87'}]",https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D8%AF%D8%B4%D8%A7%D9%87,1958,1,11,https://en.wikipedia.org/wiki/Dad_Shah,Dad Shah,Baluchi fighter at the time of Mohammad Reza Shah Pahlavi
1336,12,8,محمدعلی اقبال,نماینده دوره نوزدهم مجلس شورای ملی,"[{'text': 'محمدعلی اقبال', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C_%D8%A7%D9%82%D8%A8%D8%A7%D9%84'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C_%D8%A7%D9%82%D8%A8%D8%A7%D9%84,1958,2,27,<No English page found>,Mohammad Ali Iqbal,The nineteenth term of the National Assembly
1337,2,11,علی سهیلی,از نخست وزیران دوره پهلوی,"[{'text': 'علی سهیلی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%B3%D9%87%DB%8C%D9%84%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%B3%D9%87%DB%8C%D9%84%DB%8C,1958,5,1,https://en.wikipedia.org/wiki/Ali_Soheili,Ali Soheili,From the Prime Ministers of the Pahlavi period
1338,2,2,فضل‌الله دهش,ملقب به عطاءالملک، پدرش حاج محمدحسین شیرازی تاجر شیرازی بود. او در سال ۱۳۰۰ نخستین کارخانهٔ نساجی اصفهان را تأسیس کرد,"[{'text': 'فضل\u200cالله دهش', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B6%D9%84%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AF%D9%87%D8%B4'}]",https://fa.wikipedia.org/wiki/%D9%81%D8%B6%D9%84%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AF%D9%87%D8%B4,1959,4,23,<No English page found>,Fazlullah Dehsh,"Taken by Attal al -Molk, his father was Haj Mohammad Hossein Shirazi, a businessman in Shirazi. He founded Isfahan's first textile factory in year 6"
1338,7,27,ابراهیم حکیمی,سیاستمدار و نخست‌وزیر دورهٔ محمدرضاشاه پهلوی,"[{'text': 'ابراهیم حکیمی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85_%D8%AD%DA%A9%DB%8C%D9%85%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85_%D8%AD%DA%A9%DB%8C%D9%85%DB%8C,1959,10,20,https://en.wikipedia.org/wiki/Ebrahim_Hakimi,Ebrahim Hakimi,Politician and Prime Minister of Mohammad Reza Shah Pahlavi
1339,2,19,محمدجواد انصاری همدانی,فقیه، مرجع تقلید، نویسنده و عارف برجسته ایرانی.,"[{'text': 'ری', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%87%D8%B1_%D8%B1%DB%8C'}, {'text': 'محمدجواد انصاری همدانی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AC%D9%88%D8%A7%D8%AF_%D8%A7%D9%86%D8%B5%D8%A7%D8%B1%DB%8C_%D9%87%D9%85%D8%AF%D8%A7%D9%86%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AC%D9%88%D8%A7%D8%AF_%D8%A7%D9%86%D8%B5%D8%A7%D8%B1%DB%8C_%D9%87%D9%85%D8%AF%D8%A7%D9%86%DB%8C,1960,5,9,,Mohammad Javad Ansari Hamadani,"The jurisprudence, the reference to the imitation, the prominent Iranian writer and mystic."
1340,4,2,اوانس اوگانیانس,اولین کارگردان ایرانی - ارمنی(زاده ۱۲۸۰),"[{'text': 'اوانس اوگانیانس', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D9%88%D8%A7%D9%86%D8%B3_%D8%A7%D9%88%D9%87%D8%A7%D9%86%DB%8C%D8%A7%D9%86%D8%B3'}]",https://fa.wikipedia.org/wiki/%D8%A7%D9%88%D8%A7%D9%86%D8%B3_%D8%A7%D9%88%D9%87%D8%A7%D9%86%DB%8C%D8%A7%D9%86%D8%B3,1961,6,23,https://en.wikipedia.org/wiki/Ovanes_Ohanian,Ovanes Ohanian,The first Iranian -Armenian director (born 1)
