year,month,day,person,details,link,person_link,year_gregorian,month_gregorian,day_gregorian,person_link_english
1316,10,12,یوسف اعتصامی,مترجم,"[{'text': 'یوسف اعتصامی', 'url': 'https://fa.wikipedia.org/wiki/%DB%8C%D9%88%D8%B3%D9%81_%D8%A7%D8%B9%D8%AA%D8%B5%D8%A7%D9%85%DB%8C'}]",https://fa.wikipedia.org/wiki/%DB%8C%D9%88%D8%B3%D9%81_%D8%A7%D8%B9%D8%AA%D8%B5%D8%A7%D9%85%DB%8C,1938,01,02,https://en.wikipedia.org/wiki/Yussef_E%27tesami
1316,10,20,فیروز فیروز,سیاستمدار ایرانی در اواخر دوره قاجار واوایل دوره پهلوی,"[{'text': 'فیروز فیروز', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%DB%8C%D8%B1%D9%88%D8%B2_%D9%81%DB%8C%D8%B1%D9%88%D8%B2'}]",https://fa.wikipedia.org/wiki/%D9%81%DB%8C%D8%B1%D9%88%D8%B2_%D9%81%DB%8C%D8%B1%D9%88%D8%B2,1938,01,10,https://en.wikipedia.org/wiki/Firouz_Nosrat-ed-Dowleh_III
1318,8,30,عبدالحسین میرزا فرمانفرما,سیاستمدار ایرانی در دوره قاجار,"[{'text': 'عبدالحسین میرزا فرمانفرما', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AD%D8%B3%DB%8C%D9%86_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%D9%81%D8%B1%D9%85%D8%A7%D9%86%D9%81%D8%B1%D9%85%D8%A7'}]",https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%AD%D8%B3%DB%8C%D9%86_%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%D9%81%D8%B1%D9%85%D8%A7%D9%86%D9%81%D8%B1%D9%85%D8%A7,1939,11,22,https://en.wikipedia.org/wiki/Abdol-Hossein_Farman_Farma
1318,11,14,تقی ارانی,فعال سیاسی کمونیست در ایران,"[{'text': 'تقی ارانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AA%D9%82%DB%8C_%D8%A7%D8%B1%D8%A7%D9%86%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%AA%D9%82%DB%8C_%D8%A7%D8%B1%D8%A7%D9%86%DB%8C,1940,02,04,https://en.wikipedia.org/wiki/Taqi_Arani
1321,2,9,ناصر دیوان کازرونی,رهبر قیام مردم کازرون و فارس علیه استعمار انگلستان,"[{'text': 'ناصر دیوان کازرونی', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D8%B5%D8%B1_%D8%AF%DB%8C%D9%88%D8%A7%D9%86_%DA%A9%D8%A7%D8%B2%D8%B1%D9%88%D9%86%DB%8C'}, {'text': 'کازرون', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%B2%D8%B1%D9%88%D9%86'}]",https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D8%B5%D8%B1_%D8%AF%DB%8C%D9%88%D8%A7%D9%86_%DA%A9%D8%A7%D8%B2%D8%B1%D9%88%D9%86%DB%8C,1942,04,29,https://en.wikipedia.org/wiki/Naser_Divan_Kazeruni
1321,10,8,وحید دستگردی,شاعر,"[{'text': 'وحید دستگردی', 'url': 'https://fa.wikipedia.org/wiki/%D9%88%D8%AD%DB%8C%D8%AF_%D8%AF%D8%B3%D8%AA%DA%AF%D8%B1%D8%AF%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%88%D8%AD%DB%8C%D8%AF_%D8%AF%D8%B3%D8%AA%DA%AF%D8%B1%D8%AF%DB%8C,1942,12,29,https://en.wikipedia.org/wiki/Vahid_Dasgardi
1324,12,20,احمد کسروی,تاریخ‌نویس,"[{'text': 'احمد کسروی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%DA%A9%D8%B3%D8%B1%D9%88%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D9%85%D8%AF_%DA%A9%D8%B3%D8%B1%D9%88%DB%8C,1946,03,11,https://en.wikipedia.org/wiki/Ahmad_Kasravi
1325,11,8,سید علی قاضی,فقیه و عارف شیعه,"[{'text': 'سید علی قاضی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B9%D9%84%DB%8C_%D9%82%D8%A7%D8%B6%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B9%D9%84%DB%8C_%D9%82%D8%A7%D8%B6%DB%8C,1947,01,28,https://en.wikipedia.org/wiki/Ali_Tabatabaei
1329,4,17,حاج مرزوق عرب حائری,روحانی و مداح عراقی,"[{'text': 'حاج مرزوق عرب حائری', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AC_%D9%85%D8%B1%D8%B2%D9%88%D9%82_%D8%B9%D8%B1%D8%A8_%D8%AD%D8%A7%D8%A6%D8%B1%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AC_%D9%85%D8%B1%D8%B2%D9%88%D9%82_%D8%B9%D8%B1%D8%A8_%D8%AD%D8%A7%D8%A6%D8%B1%DB%8C,1950,07,08,<No English page found>
1329,4,21,مصطفی عدل,حقوقدان و سیاستمدار,"[{'text': 'مصطفی عدل', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B5%D8%B7%D9%81%DB%8C_%D8%B9%D8%AF%D9%84'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%B5%D8%B7%D9%81%DB%8C_%D8%B9%D8%AF%D9%84,1950,07,12,https://en.wikipedia.org/wiki/Mostafa_Adl
1329,11,14,حسن وثوق‌الدوله,سیاستمدار ایرانی در اواخر دوره قاجار و اوایل دوره پهلوی و از صدراعظم‌های ایرانی,"[{'text': 'وثوق\u200cالدوله', 'url': 'https://fa.wikipedia.org/wiki/%D9%88%D8%AB%D9%88%D9%82%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87'}]",https://fa.wikipedia.org/wiki/%D9%88%D8%AB%D9%88%D9%82%E2%80%8C%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87,1951,02,03,https://en.wikipedia.org/wiki/Vosugh_od-Dowleh
1329,12,16,حاجعلی رزم‌آرا,نخست‌وزیر وقت ایران,"[{'text': 'حاجعلی رزم\u200cآرا', 'url': 'https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AC%D8%B9%D9%84%DB%8C_%D8%B1%D8%B2%D9%85%E2%80%8C%D8%A2%D8%B1%D8%A7'}]",https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AC%D8%B9%D9%84%DB%8C_%D8%B1%D8%B2%D9%85%E2%80%8C%D8%A2%D8%B1%D8%A7,1951,03,07,https://en.wikipedia.org/wiki/Haj_Ali_Razmara
1334,10,27,نواب صفوی,طلبه و بنیانگذار گروه فدائیان اسلام در ایران,"[{'text': 'نواب صفوی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%AC%D8%AA%D8%A8%DB%8C_%D9%86%D9%88%D8%A7%D8%A8_%D8%B5%D9%81%D9%88%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%AC%D8%AA%D8%A8%DB%8C_%D9%86%D9%88%D8%A7%D8%A8_%D8%B5%D9%81%D9%88%DB%8C,1956,01,18,https://en.wikipedia.org/wiki/Navvab_Safavi
1334,11,21,عباس اقبال آشتیانی,نویسنده، تاریخ‌نگار و استاد دانشگاه,"[{'text': 'عباس اقبال آشتیانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%A7%D8%B3_%D8%A7%D9%82%D8%A8%D8%A7%D9%84_%D8%A2%D8%B4%D8%AA%DB%8C%D8%A7%D9%86%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%A7%D8%B3_%D8%A7%D9%82%D8%A8%D8%A7%D9%84_%D8%A2%D8%B4%D8%AA%DB%8C%D8%A7%D9%86%DB%8C,1956,02,11,https://en.wikipedia.org/wiki/Abbas_Eqbal_Ashtiani
1334,12,7,علی‌اکبر دهخدا,نویسنده، پژوهشگر و گردآورندهٔ لغت‌نامه دهخدا,"[{'text': 'علی\u200cاکبر دهخدا', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%E2%80%8C%D8%A7%DA%A9%D8%A8%D8%B1_%D8%AF%D9%87%D8%AE%D8%AF%D8%A7'}]",https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C%E2%80%8C%D8%A7%DA%A9%D8%A8%D8%B1_%D8%AF%D9%87%D8%AE%D8%AF%D8%A7,1956,02,27,https://en.wikipedia.org/wiki/Ali-Akbar_Dehkhoda
1335,5,28,طغرل افشار,از نخستین پیشگامان نقد سینمایی در ایران و بانی برگزاری اولین جشنواره فیلم در ایران بوده‌است.,"[{'text': 'طغرل افشار', 'url': 'https://fa.wikipedia.org/wiki/%D8%B7%D8%BA%D8%B1%D9%84_%D8%A7%D9%81%D8%B4%D8%A7%D8%B1'}]",https://fa.wikipedia.org/wiki/%D8%B7%D8%BA%D8%B1%D9%84_%D8%A7%D9%81%D8%B4%D8%A7%D8%B1,1956,08,19,<No English page found>
1335,11,23,سید نورالدین الهاشمی شیرازی-فقیه اصولی,فعال سیاسی و یکی از مراجع تقلید شیعه (زاده ۱۲۷۴),"[{'text': 'سید نورالدین الهاشمی شیرازی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%86%D9%88%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%A7%D9%84%D9%87%D8%A7%D8%B4%D9%85%DB%8C_%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%86%D9%88%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%A7%D9%84%D9%87%D8%A7%D8%B4%D9%85%DB%8C_%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2%DB%8C,1957,02,12,<No English page found>
1336,2,20,مرتضی‌قلی بیات,سیاستمدار و نخست‌وزیر ایران در زمان محمدرضاشاه پهلوی.,"[{'text': 'مرتضی\u200cقلی بیات', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AA%D8%B6%DB%8C%E2%80%8C%D9%82%D9%84%DB%8C_%D8%A8%DB%8C%D8%A7%D8%AA'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AA%D8%B6%DB%8C%E2%80%8C%D9%82%D9%84%DB%8C_%D8%A8%DB%8C%D8%A7%D8%AA,1957,05,10,https://en.wikipedia.org/wiki/Morteza-Qoli_Bayat
1336,10,21,دادشاه,مبارز بلوچ در زمان محمدرضاشاه پهلوی,"[{'text': 'دادشاه', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D8%AF%D8%B4%D8%A7%D9%87'}]",https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D8%AF%D8%B4%D8%A7%D9%87,1958,01,11,https://en.wikipedia.org/wiki/Dad_Shah
1336,12,8,محمدعلی اقبال,نماینده دوره نوزدهم مجلس شورای ملی,"[{'text': 'محمدعلی اقبال', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C_%D8%A7%D9%82%D8%A8%D8%A7%D9%84'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C_%D8%A7%D9%82%D8%A8%D8%A7%D9%84,1958,02,27,<No English page found>
1337,2,11,علی سهیلی,از نخست وزیران دوره پهلوی,"[{'text': 'علی سهیلی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%B3%D9%87%DB%8C%D9%84%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B9%D9%84%DB%8C_%D8%B3%D9%87%DB%8C%D9%84%DB%8C,1958,05,01,https://en.wikipedia.org/wiki/Ali_Soheili
1338,2,2,فضل‌الله دهش,ملقب به عطاءالملک، پدرش حاج محمدحسین شیرازی تاجر شیرازی بود. او در سال ۱۳۰۰ نخستین کارخانهٔ نساجی اصفهان را تأسیس کرد,"[{'text': 'فضل\u200cالله دهش', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B6%D9%84%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AF%D9%87%D8%B4'}]",https://fa.wikipedia.org/wiki/%D9%81%D8%B6%D9%84%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AF%D9%87%D8%B4,1959,04,23,<No English page found>
1338,7,27,ابراهیم حکیمی,سیاستمدار و نخست‌وزیر دورهٔ محمدرضاشاه پهلوی,"[{'text': 'ابراهیم حکیمی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85_%D8%AD%DA%A9%DB%8C%D9%85%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85_%D8%AD%DA%A9%DB%8C%D9%85%DB%8C,1959,10,20,https://en.wikipedia.org/wiki/Ebrahim_Hakimi
1339,2,19,محمدجواد انصاری همدانی,فقیه، مرجع تقلید، نویسنده و عارف برجسته ایرانی.,"[{'text': 'ری', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%87%D8%B1_%D8%B1%DB%8C'}, {'text': 'محمدجواد انصاری همدانی', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AC%D9%88%D8%A7%D8%AF_%D8%A7%D9%86%D8%B5%D8%A7%D8%B1%DB%8C_%D9%87%D9%85%D8%AF%D8%A7%D9%86%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D8%AF%D8%AC%D9%88%D8%A7%D8%AF_%D8%A7%D9%86%D8%B5%D8%A7%D8%B1%DB%8C_%D9%87%D9%85%D8%AF%D8%A7%D9%86%DB%8C,1960,05,09,
1340,4,2,اوانس اوگانیانس,اولین کارگردان ایرانی - ارمنی(زاده ۱۲۸۰),"[{'text': 'اوانس اوگانیانس', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D9%88%D8%A7%D9%86%D8%B3_%D8%A7%D9%88%D9%87%D8%A7%D9%86%DB%8C%D8%A7%D9%86%D8%B3'}]",https://fa.wikipedia.org/wiki/%D8%A7%D9%88%D8%A7%D9%86%D8%B3_%D8%A7%D9%88%D9%87%D8%A7%D9%86%DB%8C%D8%A7%D9%86%D8%B3,1961,06,23,https://en.wikipedia.org/wiki/Ovanes_Ohanian
1342,6,11,فضل‌الله زاهدی,نظامی و نخست‌وزیر ایران,"[{'text': 'فضل\u200cالله زاهدی', 'url': 'https://fa.wikipedia.org/wiki/%D9%81%D8%B6%D9%84%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%B2%D8%A7%D9%87%D8%AF%DB%8C'}]",https://fa.wikipedia.org/wiki/%D9%81%D8%B6%D9%84%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%B2%D8%A7%D9%87%D8%AF%DB%8C,1963,09,02,https://en.wikipedia.org/wiki/Fazlollah_Zahedi
1346,10,17,غلامرضا تختی,کشتی‌گیر ایرانی (زاده ۱۳۰۹),"[{'text': 'غلامرضا تختی', 'url': 'https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%B1%D8%B6%D8%A7_%D8%AA%D8%AE%D8%AA%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%BA%D9%84%D8%A7%D9%85%D8%B1%D8%B6%D8%A7_%D8%AA%D8%AE%D8%AA%DB%8C,1968,01,07,https://en.wikipedia.org/wiki/Gholamreza_Takhti
1347,12,1,سید محمد محقق داماد,فقیه و مجتهد,"[{'text': 'سید محمد محقق داماد', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%AD%D9%85%D8%AF_%D9%85%D8%AD%D9%82%D9%82_%D8%AF%D8%A7%D9%85%D8%A7%D8%AF'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D9%85%D8%AD%D9%85%D8%AF_%D9%85%D8%AD%D9%82%D9%82_%D8%AF%D8%A7%D9%85%D8%A7%D8%AF,1969,02,20,<No English page found>
1348,6,6,سید ضیاءالدین طباطبایی,روزنامه‌نگار و نخست‌وزیر ایران در دوران قاجاریه,"[{'text': 'سید ضیاءالدین طباطبایی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B6%DB%8C%D8%A7%D8%A1%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%B7%D8%A8%D8%A7%D8%B7%D8%A8%D8%A7%DB%8C%DB%8C'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B6%DB%8C%D8%A7%D8%A1%D8%A7%D9%84%D8%AF%DB%8C%D9%86_%D8%B7%D8%A8%D8%A7%D8%B7%D8%A8%D8%A7%DB%8C%DB%8C,1969,08,28,https://en.wikipedia.org/wiki/Zia_ol_Din_Tabatabaee
1348,11,8,سید حسن تقی‌زاده,سیاستمدار و از رهبران انقلاب مشروطه,"[{'text': 'سید حسن تقی\u200cزاده', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%D9%86_%D8%AA%D9%82%DB%8C%E2%80%8C%D8%B2%D8%A7%D8%AF%D9%87'}]",https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%AD%D8%B3%D9%86_%D8%AA%D9%82%DB%8C%E2%80%8C%D8%B2%D8%A7%D8%AF%D9%87,1970,01,28,https://en.wikipedia.org/wiki/Hassan_Taqizadeh
